year,week,date,team,rank
2022,2022-W37,2022-09-18,Virginia Tech,87
2022,2022-W37,2022-09-18,Tulsa,92
2022,2022-W37,2022-09-18,Georgia Southern,94
2022,2022-W37,2022-09-18,UNLV,96
2022,2022-W37,2022-09-18,West Virginia,100
2022,2022-W37,2022-09-18,Stanford,100
2022,2022-W37,2022-09-18,UCF,102
2022,2022-W37,2022-09-18,Miami (OH),104
2022,2022-W37,2022-09-18,Akron,109
2022,2022-W37,2022-09-18,Georgia Tech,110
2022,2022-W37,2022-09-18,Central Michigan,114
2022,2022-W37,2022-09-18,Troy,117
2022,2022-W37,2022-09-18,San Jose St,119
2022,2022-W37,2022-09-18,Vanderbilt,121
2022,2022-W37,2022-09-18,Louisiana,127
2022,2022-W37,2022-09-18,UTSA,132
2022,2022-W37,2022-09-18,Marshall,133
2022,2022-W37,2022-09-18,ULM,138
2022,2022-W37,2022-09-18,Arizona St,141
2022,2022-W37,2022-09-18,Utah St,142
2022,2022-W37,2022-09-18,Northwestern,145
2022,2022-W37,2022-09-18,Bowling Green,145
2022,2022-W37,2022-09-18,Arkansas St,147
2022,2022-W37,2022-09-18,Ball St,152
2022,2022-W37,2022-09-18,Southern Miss,159
2022,2022-W37,2022-09-18,Texas St,161
2022,2022-W37,2022-09-18,Old Dominion,167
2022,2022-W37,2022-09-18,Nebraska,173
2022,2022-W37,2022-09-18,Louisiana Tech,174
2022,2022-W37,2022-09-18,Colorado,175
2022,2022-W37,2022-09-18,New Mexico,178
2022,2022-W37,2022-09-18,Colorado St,180
2022,2022-W37,2022-09-18,San Diego St,183
2022,2022-W37,2022-09-18,Connecticut,183
2022,2022-W37,2022-09-18,Kent St,185
2022,2022-W37,2022-09-18,North Texas,186
2022,2022-W37,2022-09-18,Nevada,188
2022,2022-W37,2022-09-18,UMass,190
2022,2022-W37,2022-09-18,FIU,191
2022,2022-W37,2022-09-18,Temple,193
2022,2022-W37,2022-09-18,Navy,195
2022,2022-W37,2022-09-18,Hawaii,198
2022,2022-W37,2022-09-18,Army,199
2022,2022-W37,2022-09-18,Boston College,201
2022,2022-W37,2022-09-18,FAU,202
2022,2022-W37,2022-09-18,Georgia St,205
2022,2022-W37,2022-09-18,Northern Illinois,206
2022,2022-W37,2022-09-18,Buffalo,209
2022,2022-W37,2022-09-18,Charlotte,212
2022,2022-W37,2022-09-18,UTEP,215
2022,2022-W37,2022-09-18,New Mexico St,217
2022,2022-W38,2022-09-25,Penn St,1
2022,2022-W38,2022-09-25,Tennessee,2
2022,2022-W38,2022-09-25,Ohio St,3
2022,2022-W38,2022-09-25,Alabama,4
2022,2022-W38,2022-09-25,USC,5
2022,2022-W38,2022-09-25,Oregon,6
2022,2022-W38,2022-09-25,Arkansas,7
2022,2022-W38,2022-09-25,BYU,9
2022,2022-W38,2022-09-25,Texas Tech,9
2022,2022-W38,2022-09-25,Kansas,10
2022,2022-W38,2022-09-25,Syracuse,11
2022,2022-W38,2022-09-25,Clemson,12
2022,2022-W38,2022-09-25,Georgia,14
2022,2022-W38,2022-09-25,Oklahoma St,14
2022,2022-W38,2022-09-25,NC State,15
2022,2022-W38,2022-09-25,Cincinnati,16
2022,2022-W38,2022-09-25,Wake Forest,17
2022,2022-W38,2022-09-25,Texas A&M,18
2022,2022-W38,2022-09-25,Baylor,19
2022,2022-W38,2022-09-25,Notre Dame,21
2022,2022-W38,2022-09-25,Mississippi,21
2022,2022-W38,2022-09-25,Pittsburgh,22
2022,2022-W38,2022-09-25,Oregon St,23
2022,2022-W38,2022-09-25,Iowa St,25
2022,2022-W38,2022-09-25,Washington,25
2022,2022-W38,2022-09-25,Kentucky,26
2022,2022-W38,2022-09-25,Kansas St,27
2022,2022-W38,2022-09-25,James Madison,28
2022,2022-W38,2022-09-25,Florida,29
2022,2022-W38,2022-09-25,Florida St,30
2022,2022-W38,2022-09-25,TCU,31
2022,2022-W38,2022-09-25,Auburn,32
2022,2022-W38,2022-09-25,Michigan,34
2022,2022-W38,2022-09-25,Minnesota,34
2022,2022-W38,2022-09-25,Liberty,35
2022,2022-W38,2022-09-25,UCLA,36
2022,2022-W38,2022-09-25,Indiana,37
2022,2022-W38,2022-09-25,Mississippi St,38
2022,2022-W38,2022-09-25,Texas,39
2022,2022-W38,2022-09-25,Louisville,40
2022,2022-W38,2022-09-25,North Carolina,41
2022,2022-W38,2022-09-25,Iowa,43
2022,2022-W38,2022-09-25,Washington St,43
2022,2022-W38,2022-09-25,Maryland,44
2022,2022-W38,2022-09-25,LSU,45
2022,2022-W38,2022-09-25,Duke,46
2022,2022-W38,2022-09-25,UAB,47
2022,2022-W38,2022-09-25,Appalachian St,48
2022,2022-W38,2022-09-25,Wyoming,49
2022,2022-W38,2022-09-25,California,50
2022,2022-W38,2022-09-25,Houston,51
2022,2022-W38,2022-09-25,Middle Tenn,52
2022,2022-W38,2022-09-25,South Carolina,54
2022,2022-W38,2022-09-25,Illinois,55
2022,2022-W38,2022-09-25,Oklahoma,59
2022,2022-W38,2022-09-25,Ohio,60
2022,2022-W38,2022-09-25,Michigan St,61
2022,2022-W38,2022-09-25,Tulane,63
2022,2022-W38,2022-09-25,SMU,63
2022,2022-W38,2022-09-25,Utah,64
2022,2022-W38,2022-09-25,West Virginia,65
2022,2022-W38,2022-09-25,San Jose St,66
2022,2022-W38,2022-09-25,Southern Miss,67
2022,2022-W38,2022-09-25,Fresno St,68
2022,2022-W38,2022-09-25,Rutgers,69
2022,2022-W38,2022-09-25,Arizona,70
2022,2022-W38,2022-09-25,UCF,73
